Name (Arabic),Name (transliterated),M.P. ID Number,Gender,Age,Profession,Education,Birth Place,Elected,Legislative Instituion,Electoral District (Arabic),Electoral District (French),Parliamentary Period,Time Spent in Parliament by Representative in this Period,Did the politician finish this parliamentary period in office?,Politcal Party (Arabic),Political Party (French),Years of Party Membership During This Parliamentary Session,Party 2 if they left their first party (Arabic),Party 2 if they left their first party (French),Years in Party 2 if they left their first party,Party 3 if they left their second party (Arabic),Party 3 if they left their second party (French),Years in Party 3 if they left their second party,Party 4 (Arabic) if they left their third party,Party 4 if they left their third party (French),Years in Party 4 if they left their third party,,,,,,,,,,,,,,,,,,,,,,,,
أمين الميساوي,Amine Missaoui,713,Male,,,,,1,Assembly of the Representatives of the People,سيدي بوزيد,Sidi Bouzid,2019-2024,2019-,,ائتلاف الكرامة,Coalition De La Dignite,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عصام برقوقي,Issam Bargougui,714,Male,,,,,1,Assembly of the Representatives of the People,سيدي بوزيد,Sidi Bouzid,2019-2024,2019-,, حزب تيار المحبة,Courant De L’Amour,2019-2020,مستقل,Independent,2020-,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
لسعد حجلاوي,Lassaad Hajlaoui,715,Male,,,,,1,Assembly of the Representatives of the People,سيدي بوزيد,Sidi Bouzid,2019-2024,2019-,,حزب التيار الديمقراطي,Courant Democrate,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فيصل الطاهري,Faycel Tahri,716,Male,1976,Lawyer,Post Secondary,Sidi Bouzid,1,Assembly of the Representatives of the People,سيدي بوزيد,Sidi Bouzid,2019-2024,2019-,,حزب البديل التونسي,Al Badil Ettounsi,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
هيكل مكي,Haykel Mekki,717,Male,,,,,1,Assembly of the Representatives of the People,قفصة,Gafsa,2019-2024,2019-,,حركة الشعب ,Mouvement Du Peuple,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
أحمد بلقاسم,Ahmed Belgacem,718,Male,,,,,1,Assembly of the Representatives of the People,قفصة,Gafsa,2019-2024,2019-,,قائمة مستقلة الشباب المستقل,Liste Independent Jeunes Independants,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
طارق براهمي,Tarek Brahmi,719,Male,1965,Engineer,Post Secondary,Gafsa,1,Assembly of the Representatives of the People,قفصة,Gafsa,2019-2024,2019-,,حركة مشروع تونس,Mouvement Machrouu Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
جوهر المغيربي,Jawher Mghirbi,720,Male,,,,,1,Assembly of the Representatives of the People,نابل 1,Nabeul 1,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ثامر سعد,Thameur Saad,721,Male,,,,,1,Assembly of the Representatives of the People,نابل 1,Nabeul 1,2019-2024,2019-,,الحزب الدستوري الحر,Parti Destourien Libre,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 محمد بونني,Mohamed Bouneni,722,Male,,,,,1,Assembly of the Representatives of the People,نابل 1,Nabeul 1,2019-2024,2019-,,حزب التيار الديمقراطي,Courant Democrate,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
منذر عطية,Mondher Ben Attia,723,Male,,,,,1,Assembly of the Representatives of the People,نابل 1,Nabeul 1,2019-2024,2019-,,ائتلاف الكرامة,Coalition De La Dignite,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
إيمان بالطيب,Imen Bettaieb,724,Female,,,,,1,Assembly of the Representatives of the People,نابل 1,Nabeul 1,2019-2024,2019-,,قائمة أمل وعمل,Liste Independent Amal Wa Aamal,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
زهير مخلوف ,Zouhair Makhlouf,725,Male,,,,,1,Assembly of the Representatives of the People,نابل 2,Nabeul 2,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-2020,مستقل,Independent,2020-,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
التومي الحمروني,Toumi Hamrouni,726,Male,,,,,0,Assembly of the Representatives of the People,نابل 2,Nabeul 2,2019-2024,2020-,,حركة النهضة,Mouvement Ennahdha,2020-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مجدي بوذينة,Majdi Boudhina,727,Male,,,,,1,Assembly of the Representatives of the People,نابل 2,Nabeul 2,2019-2024,2019-,,الحزب الدستوري الحر,Parti Destourien Libre,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد الناصر بوسن ,Mohamed Naceur Bousen,728,Male,,,,,1,Assembly of the Representatives of the People,نابل 2,Nabeul 2,2019-2024,2019-,,ائتلاف الكرامة,Coalition De La Dignite,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حاتم القروي,Hatem Karoui,729,Male,,,,,1,Assembly of the Representatives of the People,نابل 2,Nabeul 2,2019-2024,2019-,,حزب التيار الديمقراطي,Courant Democrate,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حسان بن الحاج إبراهيم,Hassen Ben Hadj Ibrahim,730,Male,,,,,1,Assembly of the Representatives of the People,منوبة,La Manouba,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 سفيان المخلوفي,Sofien Makhloufi,731,Male,,,,,1,Assembly of the Representatives of the People,منوبة,La Manouba,2019-2024,2019-,,حزب التيار الديمقراطي,Courant Democrate,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
راشد الخياري,Rached Khiari,732,Male,,,,,1,Assembly of the Representatives of the People,منوبة,La Manouba,2019-2024,2019-,,ائتلاف الكرامة,Coalition Karama,2019-2020,مستقل,Independent,2020-,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
معاذ بن ضياف,Mouadh Ben Dhiaf,733,Male,,,,,1,Assembly of the Representatives of the People,منوبة,La Manouba,2019-2024,2019-,,حزب الرحمة,Errahma,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عبد الرزاق عويدات,Abderrazek Aouidet,734,Male,,,,,1,Assembly of the Representatives of the People,منوبة,La Manouba,2019-2024,2019-,,حركة الشعب ,Mouvement Du Peuple,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
راشد الغنوشي,Rached Ghannouchi,735,Male,1941,Farmer,Post Secondary,Gabes,1,Assembly of the Representatives of the People,تونس 1,Tunis 1,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
أسامة الخليفي,Oussama Khlifi,736,Male,,,,,1,Assembly of the Representatives of the People,تونس 1,Tunis 1,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سيف الدين مخلوف,Seifedine Makhlouf,737,Male,,,,,1,Assembly of the Representatives of the People,تونس 1,Tunis 1,2019-2024,2019-,,ائتلاف الكرامة,Coalition De La Dignite,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ناجي الجراحي,Neji Jarahi,738,Male,,,,,1,Assembly of the Representatives of the People,تونس 1,Tunis 1,2019-2024,2019-,,الحزب الدستوري الحر,Parti Destourien Libre,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سلوى بن عيشة,Salwa Ben Aicha,739,Female,1975,Dentist,Post Secondary,Tunis,1,Assembly of the Representatives of the People,تونس 1,Tunis 1,2019-2024,2019-,,حزب الرحمة,Errahma,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
منير بلطي حمدي,Mounir Balti Hamdi,740,Male,,,,,1,Assembly of the Representatives of the People,تونس 2,Tunis 2,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مريم السعيدي,Mariem Saidi,741,Female,,,,,1,Assembly of the Representatives of the People,تونس 2,Tunis 2,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عبير موسي,Abir Moussi,742,Female,,,,,1,Assembly of the Representatives of the People,تونس 2,Tunis 2,2019-2024,2019-,,الحزب الدستوري الحر,Parti Destourien Libre,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
هشام عجبوني,Hichem Ajbouni,743,Male,,,,,1,Assembly of the Representatives of the People,تونس 2,Tunis 2,2019-2024,2019-,,حزب التيار الديمقراطي,Courant Democrate,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
هشام بن أحمد,Hichem Ben Ahmed,744,Male,,,,,1,Assembly of the Representatives of the People,تونس 2,Tunis 2,2019-2024,2019-,,حركة تحيا تونس,Mouvement Tahya Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
احمد الصافي سعيد ,Safi Said,745,Male,,,,,1,Assembly of the Representatives of the People,تونس 2,Tunis 2,2019-2024,2019-,,قائمة نحن هنا,Liste Independent Nahnou Houna,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
يسري الدالي,Yosri Dali,746,Male,,,,,1,Assembly of the Representatives of the People,تونس 2,Tunis 2,2019-2024,2019-,,ائتلاف الكرامة,Coalition De La Dignite,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فائزة بوهلال,Faiza Bouhlel,747,Female,,,,,1,Assembly of the Representatives of the People, صفاقس1,Sfax 1,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
رضا الجوادي ,Ridha Jaouadi,748,Male,,,,,1,Assembly of the Representatives of the People, صفاقس1,Sfax 1,2019-2024,2019-,,ائتلاف الكرامة,Coalition De La Dignite,2019-2020,مستقل,Independent,2020-,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 وسام الشعري,Wissem Chaari,749,Male,,,,,1,Assembly of the Representatives of the People, صفاقس1,Sfax 1,2019-2024,2019-,,الحزب الدستوري الحر,Parti Destourien Libre,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عبد السلام بن عمارة,Abdesslam Ben Amara,750,Male,1979,Secretary,,Sfax,1,Assembly of the Representatives of the People, صفاقس1,Sfax 1,2019-2024,2019-,,حركة الشعب ,Mouvement Du Peuple,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فيصل دربال,Faycel Derbel,751,Male,1956,Teacher Assistant,Post Secondary,Sfax,1,Assembly of the Representatives of the People,صفاقس2,Sfax 2,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مريم بن بلقاسم,Mariem Ben Belgacem,752,Female,,,,,1,Assembly of the Representatives of the People,صفاقس2,Sfax 2,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
صفاء الغريبي,Safa Ghribi,753,Female,,,,,1,Assembly of the Representatives of the People,صفاقس2,Sfax 2,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد الحصايري,Mohamed Hsairi,754,Male,,,,,1,Assembly of the Representatives of the People,صفاقس2,Sfax 2,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد العفاس,Mohamed Affas,755,Male,,,,,1,Assembly of the Representatives of the People, صفاقس1,Sfax 1,2019-2024,2019-,,ائتلاف الكرامة,Coalition De La Dignite,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عواطف فتيريش  ,Awatef Ftirich,756,Female,,,,,1,Assembly of the Representatives of the People,صفاقس2,Sfax 2,2019-2024,2019-,,ائتلاف الكرامة,Coalition De La Dignite,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سالم قطاطة,Salem Ketata,757,Male,,,,,1,Assembly of the Representatives of the People,صفاقس2,Sfax 2,2019-2024,2019-,,حزب التيار الديمقراطي,Courant Democrate,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
هاجر النيفر شقرون,Hajer Naifer,758,Female,,,,,1,Assembly of the Representatives of the People,صفاقس2,Sfax 2,2019-2024,2019-,,الحزب الدستوري الحر,Parti Destourien Libre,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
اميرة شرف الدين ,Amira Charfedine,759,Female,,,,,1,Assembly of the Representatives of the People,المهدية,Mahdia,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عز الدين الفرجاني,Ezzedine Ferjani,760,Male,,,,,1,Assembly of the Representatives of the People,المهدية,Mahdia,2019-2024,2019-,,ائتلاف الكرامة,Coalition De La Dignite,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فتحي بلقاسم,Fathi Belgacem,761,Male,,,,,1,Assembly of the Representatives of the People,المهدية,Mahdia,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سميرة حميدة ,Samira Hmida,762,Female,,,,,1,Assembly of the Representatives of the People,المهدية,Mahdia,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 نجم الدين بن سالم,Nejmeddine Ben Salem,763,Male,,,,,1,Assembly of the Representatives of the People,المهدية,Mahdia,2019-2024,2019-,,حزب التيار الديمقراطي,Courant Democrate,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
هيثم ابراهم,Haythem Brahem,764,Male,1973,,,Sfax,1,Assembly of the Representatives of the People,المهدية,Mahdia,2019-2024,2019-,,أفاق تونس,Afek Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نسيبة بن علي,Noussaiba Ben Ali,765,Female,,,,,1,Assembly of the Representatives of the People,بن عروس,Ben Arous,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
آمال الورتتاني,Amel Ouertatani,766,Female,,,,,1,Assembly of the Representatives of the People,بن عروس,Ben Arous,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
خالد قسومة,Khaled Qsouma,767,Male,,,,,1,Assembly of the Representatives of the People,بن عروس,Ben Arous,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-2020,مستقل,Independent,2020-,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سلمى المعالج,Salma Maalej,768,Female,,,,,0,Assembly of the Representatives of the People,بن عروس,Ben Arous,2019-2024,2020-,,حزب التيار الديمقراطي,Courant Democrate,2020-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سميرة سايحي,Samira Sayhi,769,Female,,,,,1,Assembly of the Representatives of the People,بن عروس,Ben Arous,2019-2024,2019-,,الحزب الدستوري الحر,Parti Destourien Libre,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حليمة الهمامي,Halima Hammami,770,Female,,,,,1,Assembly of the Representatives of the People,بن عروس,Ben Arous,2019-2024,2019-,,ائتلاف الكرامة,Coalition De La Dignite,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سعيد الجزيري,Said Jaziri,771,Male,,,,,1,Assembly of the Representatives of the People,بن عروس,Ben Arous,2019-2024,2019-,,حزب الرحمة,Errahma,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سنية الخشين,Sonia Lekhchine,772,Female,,,,,1,Assembly of the Representatives of the People,بن عروس,Ben Arous,2019-2024,2019-,,حركة تحيا تونس,Mouvement Tahya Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
جمالي بوضوافة,Jamali Boudhouafi,773,Male,,,,,1,Assembly of the Representatives of the People,بن عروس,Ben Arous,2019-2024,2019-,,حزب الاتحاد الشعبي الجمهوري,Union Populaire Republicaine,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عبد المجيد عمار,Abdelmajid Ammar,774,Male,,,,,1,Assembly of the Representatives of the People,زغوان,Zaghouan,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فخر الدين شبشوب,Fakhereedine Chabchoub,775,Male,,,,,1,Assembly of the Representatives of the People,زغوان,Zaghouan,2019-2024,2019-,,حركة نداء تونس,Mouvement Nidaa Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حمد الصغير,Ahmed Sghaier,776,Male,,,,,1,Assembly of the Representatives of the People,زغوان,Zaghouan,2019-2024,2019-,,الحزب الدستوري الحر,Parti Destourien Libre,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
شكري بلحاج عمارة,Chokri Belhaj Amara,777,Male,,,,,1,Assembly of the Representatives of the People,زغوان,Zaghouan,2019-2024,2019-,,قائمة الخير,Liste Independent El Khir,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
السيد فرجاني,Sayed Ferjani,778,Male,,,,,1,Assembly of the Representatives of the People, القيروان,Kairouan,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سيف الدين المرغني,Seifeddine Mergheni,779,Male,,,,,1,Assembly of the Representatives of the People, القيروان,Kairouan,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سهام الشريقي,Sihem Chrigui,780,Female,,,,,1,Assembly of the Representatives of the People, القيروان,Kairouan,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 ماهر زيد,Maher Zid,781,Male,,,,,1,Assembly of the Representatives of the People, القيروان,Kairouan,2019-2024,2019-,,ائتلاف الكرامة,Coalition De La Dignite,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
الصحبي صمارة,Sahbi Smara,782,Male,,,,,1,Assembly of the Representatives of the People, القيروان,Kairouan,2019-2024,2019-,,قائمة الرابطة الخضراء,Liste Independent Alrabita Alkhadraa,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
خالد الكريشي,Khaled Krichi,783,Male,1972,Lawyer,Post Secondary,Kairouan,1,Assembly of the Representatives of the People, القيروان,Kairouan,2019-2024,2019-,,قائمة الشعب,Mouvement Du Peuple,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
كنزة عجالة,Kenza Ajela,784,Female,,,,,1,Assembly of the Representatives of the People,قابس,Gabes,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عبد الله حريزي,Abdallah Hrizi,785,Male,,,,,1,Assembly of the Representatives of the People,قابس,Gabes,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
كمال الحبيب فراج,Kamel Habib Faraj,786,Male,,,,,1,Assembly of the Representatives of the People,قابس,Gabes,2019-2024,2019-,,حركة الشعب ,Mouvement Du Peuple,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد ضياء الدين بن عمر,Mohamed Dhiaa Ben Omar,787,Male,,,,,1,Assembly of the Representatives of the People,قابس,Gabes,2019-2024,2019-,,حزب التيار الديمقراطي,Courant Democrate,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ليليا باليل,Lilia Bellil,788,Female,,,,,1,Assembly of the Representatives of the People,فرنسا 1,France 1,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
زياد الغناي,Zied Ghanney,789,Male,,,,,1,Assembly of the Representatives of the People,فرنسا 1,France 1,2019-2024,2019-,,حزب التيار الديمقراطي,Courant Democrate,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عمر الغريبي,Omar Ghribi,790,Male,,,,,1,Assembly of the Representatives of the People,فرنسا 1,France 1,2019-2024,2019-,,ائتلاف الكرامة,Coalition De La Dignite,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 الطاهر فارس بلال,Fares Blel,791,Male,,,,,1,Assembly of the Representatives of the People,فرنسا 2,France 2,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
زياد الهاشمي ,Zied Hechmi,792,Male,,,,,1,Assembly of the Representatives of the People,فرنسا 2,France 2,2019-2024,2019-,,ائتلاف الكرامة,Coalition De La Dignite,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 زينب السفاري,Zaineb Safari,793,Female,,,,,1,Assembly of the Representatives of the People,فرنسا 2,France 2,2019-2024,2019-,,الحزب الدستوري الحر,Parti Destourien Libre,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 أنور بن الشاهد,Anouar Ben Chahed,794,Male,,,,,1,Assembly of the Representatives of the People,فرنسا 2,France 2,2019-2024,2019-,,حزب التيار الديمقراطي,Courant Democrate,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سامي بن عبد العالي ,Sami Ben Abdelali,795,Male,,,,,1,Assembly of the Representatives of the People,إيطاليا,Italie,2019-2024,2019-,,قائمة كلنا توانسة ,,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مجدي الكرباعي ,Majdi Kerbai,796,Male,,,,,1,Assembly of the Representatives of the People,إيطاليا,Italie,2019-2024,2019-,,حزب التيار الديمقراطي,Courant Democrate,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
موسى بن أحمد,Moussa Ben Ahmed,797,Male,,,,,1,Assembly of the Representatives of the People,ألمانيا,Allemagne,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
رباب بن لطيف,Rabeb Ben Letaief,798,Female,,,,,1,Assembly of the Representatives of the People,القارة الأمريكية وبقية الدول الأوروبية,Amerique et Reste de L'Europe,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
منيرة عياري,Mounira Ayari,799,Female,,,,,1,Assembly of the Representatives of the People,القارة الأمريكية وبقية الدول الأوروبية,Amerique et Reste de L'Europe,2019-2024,2019-,,حزب التيار الديمقراطي,Courant Democrate,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 محمد عمار,Mohamed Ammar,800,Male,,,,,1,Assembly of the Representatives of the People,الدول العربية وبقية دول العالم,Pays Arabes et Reste du Monde,2019-2024,2019-,,حزب التيار الديمقراطي,Courant Democrate,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
